price,bedrooms,bathrooms,square_feet,cluster
1390,0.0,1.0,107,0
925,0.0,1.0,116,0
2475,0.0,1.0,130,0
1495,0.0,1.0,138,0
1695,0.0,1.0,190,0
1560,1.0,1.0,200,0
1560,1.0,1.0,200,0
1000,1.0,1.0,200,0
950,1.0,1.0,200,0
625,1.0,1.0,200,0
600,1.0,1.0,200,0
544,1.0,1.0,200,0
525,1.0,1.0,200,0
450,1.0,1.0,200,0
750,1.0,1.0,215,0
2000,1.0,1.0,219,0
1400,1.0,1.0,219,0
1095,1.0,1.0,219,0
915,1.0,1.0,219,0
900,1.0,1.0,219,0
865,1.0,1.0,219,0
750,1.0,1.0,219,0
725,1.0,1.0,219,0
650,1.0,1.0,219,0
650,1.0,1.0,219,0
645,1.0,1.0,219,0
595,1.0,1.0,219,0
750,1.0,1.0,220,0
1195,0.0,1.0,223,0
1150,0.0,1.0,225,0
942,1.0,1.0,225,0
1250,0.0,1.0,228,0
800,1.0,1.0,230,0
685,1.0,1.0,230,0
525,1.0,1.0,230,0
1095,0.0,1.0,231,0
1695,0.0,1.0,232,0
775,1.0,1.0,240,0
1299,0.0,1.0,243,0
705,1.0,1.0,245,0
1800,1.0,1.0,250,0
1600,1.0,1.0,250,0
1500,1.0,1.0,250,0
1330,1.0,1.0,250,0
1310,1.0,1.0,250,0
1300,1.0,1.0,250,0
1295,1.0,1.0,250,0
1255,1.0,1.0,250,0
1250,1.0,1.0,250,0
1250,1.0,1.0,250,0
1200,1.0,1.0,250,0
1200,1.0,1.0,250,0
1175,1.0,1.0,250,0
1155,1.0,1.0,250,0
1150,1.0,1.0,250,0
1145,1.0,1.0,250,0
1135,1.0,1.0,250,0
1115,1.0,1.0,250,0
1095,0.0,1.0,250,0
1090,1.0,1.0,250,0
1075,1.0,1.0,250,0
1050,1.0,1.0,250,0
1050,1.0,1.0,250,0
1045,1.0,1.0,250,0
1025,1.0,1.0,250,0
1025,1.0,1.0,250,0
1005,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
1000,1.0,1.0,250,0
975,1.0,1.0,250,0
965,1.0,1.0,250,0
955,1.0,1.0,250,0
950,1.0,1.0,250,0
950,1.0,1.0,250,0
930,1.0,1.0,250,0
925,1.0,1.0,250,0
925,1.0,1.0,250,0
925,1.0,1.0,250,0
915,1.0,1.0,250,0
900,1.0,1.0,250,0
900,1.0,1.0,250,0
900,1.0,1.0,250,0
900,1.0,1.0,250,0
900,1.0,1.0,250,0
900,1.0,1.0,250,0
895,1.0,1.0,250,0
895,1.0,1.0,250,0
875,1.0,1.0,250,0
865,1.0,1.0,250,0
865,1.0,1.0,250,0
860,1.0,1.0,250,0
855,1.0,1.0,250,0
850,1.0,1.0,250,0
850,1.0,1.0,250,0
850,1.0,1.0,250,0
850,1.0,1.0,250,0
850,1.0,1.0,250,0
850,1.0,1.0,250,0
825,1.0,1.0,250,0
805,1.0,1.0,250,0
800,1.0,1.0,250,0
800,1.0,1.0,250,0
800,1.0,1.0,250,0
800,1.0,1.0,250,0
800,1.0,1.0,250,0
800,1.0,1.0,250,0
795,1.0,1.0,250,0
785,1.0,1.0,250,0
785,1.0,1.0,250,0
760,1.0,1.0,250,0
755,1.0,1.0,250,0
755,1.0,1.0,250,0
755,1.0,1.0,250,0
750,1.0,1.0,250,0
750,1.0,1.0,250,0
750,1.0,1.0,250,0
750,1.0,1.0,250,0
725,1.0,1.0,250,0
725,1.0,1.0,250,0
720,1.0,1.0,250,0
705,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
700,1.0,1.0,250,0
695,0.0,1.0,250,0
695,1.0,1.0,250,0
685,1.0,1.0,250,0
685,1.0,1.0,250,0
675,1.0,1.0,250,0
675,1.0,1.0,250,0
660,1.0,1.0,250,0
650,1.0,1.0,250,0
650,1.0,1.0,250,0
650,1.0,1.0,250,0
650,1.0,1.0,250,0
650,1.0,1.0,250,0
645,1.0,1.0,250,0
645,1.0,1.0,250,0
625,1.0,1.0,250,0
625,1.0,1.0,250,0
610,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
600,1.0,1.0,250,0
595,1.0,1.0,250,0
580,1.0,1.0,250,0
575,1.0,1.0,250,0
575,1.0,1.0,250,0
550,1.0,1.0,250,0
550,1.0,1.0,250,0
500,1.0,1.0,250,0
500,1.0,1.0,250,0
500,1.0,1.0,250,0
499,1.0,1.0,250,0
495,1.0,1.0,250,0
200,1.0,1.0,250,0
1325,0.0,1.0,253,0
1400,0.0,1.0,255,0
1995,0.0,1.0,258,0
710,1.0,1.0,265,0
1659,1.0,1.0,272,0
1600,1.0,1.0,272,0
850,1.0,1.0,273,0
1900,0.0,1.0,275,0
1505,1.0,1.0,275,0
900,1.0,1.0,275,0
892,0.0,1.0,275,0
705,1.0,1.0,275,0
1240,1.0,1.0,280,0
870,1.0,1.0,285,0
1095,0.0,1.0,286,0
1350,0.0,1.0,288,0
865,1.0,1.0,288,0
690,1.0,1.0,288,0
1099,0.0,1.0,290,0
700,1.0,1.0,290,0
850,0.0,1.0,296,0
2200,0.0,1.0,300,0
2112,1.0,1.0,300,0
1868,1.0,1.0,300,0
1785,1.0,1.0,300,0
1575,1.0,1.0,300,0
1534,1.0,1.0,300,0
1470,1.0,1.0,300,0
1470,1.0,1.0,300,0
1470,1.0,1.0,300,0
1425,2.0,1.0,300,0
1386,1.0,1.0,300,0
1195,0.0,1.0,300,0
995,1.0,1.0,300,0
975,0.0,1.0,300,0
911,1.0,1.0,300,0
900,0.0,1.0,300,0
800,1.0,1.0,300,0
800,1.0,1.0,300,0
795,1.0,1.0,300,0
795,1.0,1.0,300,0
775,1.0,1.0,300,0
760,0.0,1.0,300,0
750,1.0,1.0,300,0
725,1.0,1.0,300,0
700,1.0,1.0,300,0
650,1.0,1.0,300,0
595,1.0,1.0,300,0
590,1.0,1.0,300,0
590,2.0,1.0,300,0
585,2.0,1.0,300,0
580,2.0,1.0,300,0
400,1.0,1.0,300,0
1195,1.0,1.0,301,0
1094,1.0,1.0,306,0
725,0.0,1.0,308,0
1099,0.0,1.0,309,0
1222,2.0,1.0,310,0
2195,0.0,1.0,313,0
760,1.0,1.0,313,0
650,2.0,1.0,314,0
2695,0.0,1.0,315,0
730,2.0,1.0,315,0
659,0.0,1.0,315,0
775,1.0,1.0,317,0
1350,0.0,1.0,318,0
1100,1.0,1.0,319,0
965,1.0,1.0,320,0
675,0.0,1.0,320,0
925,1.0,1.0,321,0
845,1.0,1.0,322,0
700,2.0,1.0,324,0
2700,2.0,1.0,325,0
1995,2.0,1.0,325,0
1350,1.0,1.0,325,0
1349,2.0,1.0,325,0
975,2.0,1.0,325,0
925,0.0,1.0,325,0
899,2.0,1.0,325,0
700,2.0,1.0,325,0
325,2.0,1.0,325,0
915,1.0,1.0,330,0
799,0.0,1.0,330,0
710,1.0,1.0,330,0
2695,2.0,1.0,332,0
2295,1.0,1.0,332,0
1079,2.0,1.0,333,0
1386,2.0,1.0,334,0
800,1.0,1.0,335,0
2195,0.0,1.0,336,0
1100,2.0,1.0,336,0
1099,1.0,1.0,336,0
625,0.0,1.0,336,0
809,2.0,1.0,337,0
2295,0.0,1.0,338,0
1160,2.0,1.0,338,0
998,2.0,1.0,338,0
990,2.0,1.0,338,0
785,1.0,1.0,340,0
720,2.0,1.0,340,0
1240,0.0,1.0,341,0
2395,0.0,1.0,342,0
480,2.0,1.0,342,0
800,0.0,1.0,344,0
1655,1.0,1.0,346,0
899,1.0,1.0,346,0
600,1.0,1.0,347,0
699,2.0,1.0,348,0
2195,0.0,1.0,350,0
1670,2.0,1.0,350,0
1650,1.0,1.0,350,0
1550,2.0,1.0,350,0
1400,0.0,1.0,350,0
1299,0.0,1.0,350,0
1299,0.0,1.0,350,0
1200,2.0,1.0,350,0
1145,1.0,1.0,350,0
1000,1.0,1.0,350,0
940,0.0,1.0,350,0
895,2.0,1.0,350,0
875,0.0,1.0,350,0
800,1.0,1.0,350,0
710,0.0,1.0,350,0
699,0.0,1.0,350,0
695,2.0,1.0,350,0
592,0.0,1.0,350,0
1225,1.0,1.0,351,0
